finance_id,month,quarter,department,cost_center,budget,actual_cost,variance
1,2025-01,Q1,Engineering,ENG-101,210000,218000,8000
2,2025-02,Q1,Sales,SAL-201,150000,143000,-7000
3,2025-03,Q1,Operations,OPS-301,98000,101500,3500
4,2025-04,Q2,Engineering,ENG-101,215000,229000,14000
5,2025-05,Q2,Marketing,MKT-401,122000,139000,17000
6,2025-06,Q2,Operations,OPS-301,104000,117000,13000
7,2025-07,Q3,Sales,SAL-201,158000,160500,2500
8,2025-08,Q3,Engineering,ENG-101,220000,219500,-500
9,2025-09,Q3,Customer Success,CS-501,93000,97000,4000
10,2025-10,Q4,Operations,OPS-301,109000,112000,3000
11,2025-11,Q4,Marketing,MKT-401,128000,124000,-4000
12,2025-12,Q4,Engineering,ENG-101,225000,232000,7000
